,acceleration,cylinders,displacement,horsepower,model_year,mpg,name,origin,weight
381,14.5,4,107.0,75.0,82,36.0,honda accord,japan,2205
382,16.9,4,108.0,70.0,82,34.0,toyota corolla,japan,2245
383,15.0,4,91.0,67.0,82,38.0,honda civic,japan,1965
384,15.7,4,91.0,67.0,82,32.0,honda civic (auto),japan,1965
385,16.2,4,91.0,67.0,82,38.0,datsun 310 gx,japan,1995
386,16.4,6,181.0,110.0,82,25.0,buick century limited,usa,2945
387,17.0,6,262.0,85.0,82,38.0,oldsmobile cutlass ciera (diesel),usa,3015
388,14.5,4,156.0,92.0,82,26.0,chrysler lebaron medallion,usa,2585
389,14.7,6,232.0,112.0,82,22.0,ford granada l,usa,2835
390,13.9,4,144.0,96.0,82,32.0,toyota celica gt,japan,2665
391,13.0,4,135.0,84.0,82,36.0,dodge charger 2.2,usa,2370
392,17.3,4,151.0,90.0,82,27.0,chevrolet camaro,usa,2950
393,15.6,4,140.0,86.0,82,27.0,ford mustang gl,usa,2790
394,24.6,4,97.0,52.0,82,44.0,vw pickup,europe,2130
395,11.6,4,135.0,84.0,82,32.0,dodge rampage,usa,2295
396,18.6,4,120.0,79.0,82,28.0,ford ranger,usa,2625
397,19.4,4,119.0,82.0,82,31.0,chevy s-10,usa,2720
